,date,location,d_pm10,d_pm25,status
173,2015-06-22,모현동,44.125,NA,case_1
174,2015-06-23,모현동,40.70833333,NA,case_1
175,2015-06-24,모현동,54.75,NA,case_1
176,2015-06-25,모현동,55.875,NA,case_1
177,2015-06-26,모현동,14.79166667,NA,case_1
178,2015-06-27,모현동,29.20833333,NA,case_1
179,2015-06-28,모현동,25.08333333,NA,case_1
180,2015-06-29,모현동,40.54166667,NA,case_1
181,2015-06-30,모현동,28.83333333,NA,case_1
182,2015-07-01,모현동,34.58333333,NA,case_1
183,2015-07-02,모현동,45.60869565,NA,case_1
184,2015-07-03,모현동,50.66666667,NA,case_1
185,2015-07-04,모현동,26.25,NA,case_1
186,2015-07-05,모현동,30.58333333,NA,case_1
187,2015-07-06,모현동,34.70833333,NA,case_1
188,2015-07-07,모현동,33.66666667,NA,case_1
189,2015-07-08,모현동,11.375,NA,case_1
190,2015-07-09,모현동,11.16666667,NA,case_1
191,2015-07-10,모현동,18.41666667,NA,case_1
192,2015-07-11,모현동,23.125,NA,case_1
193,2015-07-12,모현동,10.5,NA,case_1
194,2015-07-13,모현동,37,NA,case_1
195,2015-07-14,모현동,82.41666667,NA,case_1
196,2015-07-15,모현동,64.57142857,NA,case_1
197,2015-07-16,모현동,23.41666667,NA,case_1
198,2015-07-17,모현동,18,NA,case_1
199,2015-07-18,모현동,31.95833333,NA,case_1
200,2015-07-19,모현동,38.41666667,NA,case_1
201,2015-07-20,모현동,36.5,NA,case_1
202,2015-07-21,모현동,34.66666667,NA,case_1
203,2015-07-22,모현동,26.04166667,NA,case_1
204,2015-07-23,모현동,20,NA,case_1
205,2015-07-24,모현동,15.79166667,NA,case_1
206,2015-07-25,모현동,22.54166667,NA,case_1
207,2015-07-26,모현동,16,NA,case_1
208,2015-07-27,모현동,22.04166667,NA,case_1
209,2015-07-28,모현동,19.75,NA,case_1
210,2015-07-29,모현동,41.70833333,NA,case_1
211,2015-07-30,모현동,55.83333333,NA,case_1
212,2015-07-31,모현동,44.29166667,NA,case_1
213,2015-08-01,모현동,39.13043478,NA,case_1
214,2015-08-02,모현동,30.75,NA,case_1
215,2015-08-03,모현동,24.41666667,NA,case_1
216,2015-08-04,모현동,18.5,NA,case_1
217,2015-08-05,모현동,24.20833333,NA,case_1
218,2015-08-06,모현동,28.45833333,NA,case_1
219,2015-08-07,모현동,40.5,NA,case_1
220,2015-08-08,모현동,46.95833333,NA,case_1
221,2015-08-09,모현동,30,NA,case_1
222,2015-08-10,모현동,29.66666667,NA,case_1
223,2015-08-11,모현동,39.125,NA,case_1
224,2015-08-12,모현동,18.71428571,NA,case_1
225,2015-08-13,모현동,28.33333333,NA,case_1
226,2015-08-14,모현동,36.375,NA,case_1
227,2015-08-15,모현동,50.66666667,NA,case_1
228,2015-08-16,모현동,53.25,NA,case_1
229,2015-08-17,모현동,26.41666667,NA,case_1
230,2015-08-18,모현동,32.66666667,NA,case_1
231,2015-08-19,모현동,34.23809524,NA,case_1
232,2015-08-20,모현동,20.7826087,NA,case_1
233,2015-08-21,모현동,19.625,NA,case_1
234,2015-08-22,모현동,39.08333333,NA,case_1
235,2015-08-23,모현동,42.70833333,NA,case_1
236,2015-08-24,모현동,38.83333333,NA,case_1
237,2015-08-25,모현동,9.333333333,NA,case_1
238,2015-08-26,모현동,13.45833333,NA,case_1
239,2015-08-27,모현동,21.375,NA,case_1
240,2015-08-28,모현동,26.54166667,NA,case_1
241,2015-08-29,모현동,28.66666667,NA,case_1
242,2015-08-30,모현동,34.70833333,NA,case_1
