,date,location,d_pm10,d_pm25,area
384,2016-01-19,강남구,37.08333333,12.08333333,동남
385,2016-01-20,강남구,38.66666667,19.91666667,동남
386,2016-01-21,강남구,57.875,28.79166667,동남
387,2016-01-22,강남구,54.95833333,25.54166667,동남
388,2016-01-23,강남구,32.83333333,13.5,동남
389,2016-01-24,강남구,41.20833333,18.625,동남
390,2016-01-25,강남구,53.75,14.95833333,동남
391,2016-01-26,강남구,82.875,34,동남
392,2016-01-27,강남구,69.08333333,29.125,동남
393,2016-01-28,강남구,64.41666667,29.75,동남
394,2016-01-29,강남구,51.95833333,21.79166667,동남
395,2016-01-30,강남구,39.20833333,22.375,동남
396,2016-01-31,강남구,42.45833333,19.33333333,동남
397,2016-02-01,강남구,41.875,18.08333333,동남
398,2016-02-02,강남구,49.625,21.25,동남
399,2016-02-03,강남구,64.41666667,31.5,동남
400,2016-02-04,강남구,56.375,27.125,동남
401,2016-02-05,강남구,47.66666667,18.91666667,동남
402,2016-02-06,강남구,52.875,22.375,동남
403,2016-02-07,강남구,52.20833333,21.66666667,동남
404,2016-02-08,강남구,69.45833333,36.29166667,동남
405,2016-02-09,강남구,58.95833333,27.375,동남
406,2016-02-10,강남구,43.75,22.16666667,동남
407,2016-02-11,강남구,47.875,21.91666667,동남
408,2016-02-12,강남구,37.17391304,21.04347826,동남
409,2016-02-13,강남구,15.91666667,9.666666667,동남
410,2016-02-14,강남구,31.375,16.83333333,동남
411,2016-02-15,강남구,35.79166667,10.33333333,동남
412,2016-02-16,강남구,28.83333333,14.54166667,동남
413,2016-02-17,강남구,40.29166667,13.45833333,동남
414,2016-02-18,강남구,42.16666667,19.875,동남
415,2016-02-19,강남구,88.43478261,37.69565217,동남
416,2016-02-20,강남구,53.54166667,17.16666667,동남
417,2016-02-21,강남구,27.20833333,10.75,동남
418,2016-02-22,강남구,45.52173913,16.17391304,동남
419,2016-02-23,강남구,58.16666667,24.79166667,동남
420,2016-02-24,강남구,34.875,16,동남
421,2016-02-25,강남구,49.875,23.54166667,동남
422,2016-02-26,강남구,48.75,24.54166667,동남
423,2016-02-27,강남구,66.875,36.66666667,동남
424,2016-02-28,강남구,53.83333333,27,동남
425,2016-02-29,강남구,58.91666667,26.08333333,동남
426,2016-03-01,강남구,31.875,16,동남
427,2016-03-02,강남구,37,19.45833333,동남
428,2016-03-03,강남구,50.05,24.78947368,동남
429,2016-03-04,강남구,72.75,34.91666667,동남
430,2016-03-05,강남구,21.54166667,13.65217391,동남
431,2016-03-06,강남구,95.83333333,21.66666667,동남
432,2016-03-07,강남구,118.25,30.04347826,동남
